|30536| 36976|12:05:53.699|inf:50 |                                    :410   |       pylon_capture>> Backing memory with writewatch allocation
|30536| 36976|12:05:53.717|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 14, api: Vulkan, type: DeviceMemory
|30536| 36976|12:05:53.718|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 15, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.724|wrn:50 |                                    :125   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphCalculateMemoryRequirements
|30536| 36976|12:05:53.724|wrn:50 |                                    :127   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphCreate
|30536| 36976|12:05:53.724|wrn:50 |                                    :129   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphDestroy
|30536| 36976|12:05:53.724|wrn:50 |                                    :131   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphGetInputCount
|30536| 36976|12:05:53.724|wrn:50 |                                    :133   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphGetInputInfo
|30536| 36976|12:05:53.724|wrn:50 |                                    :135   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphGetOutputCount
|30536| 36976|12:05:53.724|wrn:50 |                                    :137   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphGetOutputInfo
|30536| 36976|12:05:53.724|wrn:50 |                                    :139   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphGetRepackedWeightsMemorySize
|30536| 36976|12:05:53.724|wrn:50 |                                    :141   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphGetWeightCount
|30536| 36976|12:05:53.724|wrn:50 |                                    :143   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphGetWeightInfo
|30536| 36976|12:05:53.724|wrn:50 |                                    :145   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphInference
|30536| 36976|12:05:53.724|wrn:50 |                                    :147   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphInferencePrepass
|30536| 36976|12:05:53.724|wrn:50 |                                    :149   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphSetInputData
|30536| 36976|12:05:53.724|wrn:50 |                                    :151   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphSetOutputData
|30536| 36976|12:05:53.724|wrn:50 |                                    :153   |               pylon>> Could not look up function NvAPI_D3D12_DeepJit_SubgraphSetWeightData
|30536| 36976|12:05:53.732|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 16, api: Vulkan, type: RenderPass
|30536| 36976|12:05:53.732|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 17, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.732|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 18, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.732|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 19, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.732|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 20, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.732|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 21, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.732|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 22, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.732|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 23, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.732|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 24, api: Vulkan, type: Semaphore
|30536| 36976|12:05:53.733|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 25, api: Vulkan, type: CommandPool
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 26, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 27, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 28, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 29, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 30, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 31, api: Vulkan, type: CommandBuffer
